Id,Label,timeset,lat,lng,kind of node,weight,modularity_class,indegree,outdegree,Degree,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
https://www.instagram.com/hirofumifujiwara_artworks/,hirofumifujiwara_artworks,,,,a,1,3,6,7,13,6,0.002776,0.471541,0.110232,100.514171,0.016004,7,0.226178,0.237273,105.484379
https://www.instagram.com/astro.anders/,astro.anders,,,,a,1,0,9,10,19,9,0.004165,0.471541,0.146987,154.543597,0.024606,6,0.288654,0.30142,3897.931599
https://www.instagram.com/bueffelhof_kragemann/,bueffelhof_kragemann,,,,a,1,1,11,10,21,11,0.00509,0.471541,0.129097,412.410485,0.065663,5,0.279431,0.298441,891.351844
https://www.instagram.com/imglasbochum/,imglasbochum,,,,a,1,1,5,16,21,5,0.002314,0.471541,0.13501,205.967211,0.032793,5,0.32957,0.350039,964.362879
https://www.instagram.com/flashgparks/,flashgparks,,,,a,1,0,,,,,,,,,,,,,
https://www.instagram.com/scolloredo/,scolloredo,,,,a,1,0,2,17,19,2,0.000925,0.471541,0.120941,51.513609,0.008202,8,0.190443,0.201383,46.370726
https://www.instagram.com/mindscape_universe/,mindscape_universe,,,,a,1,3,,,,,,,,,,,,,
https://www.instagram.com/anouk.vanreijen/,anouk.vanreijen,,,,a,1,3,4,13,17,4,0.001851,0.471541,0.125033,51.51261,0.008202,5,0.347267,0.367377,558.759039
https://www.instagram.com/artisbookshop/,artisbookshop,,,,a,1,3,,,,,,,,,,,,,
https://www.instagram.com/erik.kessels/,erik.kessels,,,,a,1,4,9,14,23,9,0.004165,0.471541,0.156311,154.27934,0.024564,6,0.264641,0.285301,4809.167354
https://www.instagram.com/anonyme_anwohnende/,anonyme_anwohnende,,,,a,1,7,3,9,12,3,0.001388,0.471541,0.11556,153.770788,0.024483,6,0.253432,0.267407,348.346643
https://www.instagram.com/galeriekaufhof/,galeriekaufhof,,,,a,1,3,4,10,14,4,0.001851,0.471541,0.126447,197.853515,0.031502,5,0.348725,0.368881,793.378833
https://www.instagram.com/kiryk.artworks/,kiryk.artworks,,,,a,1,0,5,8,13,5,0.002314,0.471541,0.120881,51.513609,0.008202,7,0.232934,0.245429,9.471923
https://www.instagram.com/ruhrpottblick/,ruhrpottblick,,,,a,1,2,66,17,83,66,0.030541,0.471541,0.18003,1853.929862,0.295177,5,0.313862,0.335255,2362.4948
https://www.instagram.com/rvr.ruhr/,rvr.ruhr,,51.447142,7.020885,a,1,2,60,21,81,60,0.027765,0.471541,0.175046,1905.241668,0.303347,5,0.321764,0.345147,3339.775518
https://www.instagram.com/medialab.nrw/,medialab.nrw,,,,a,1,2,10,5,15,10,0.004627,0.471541,0.153711,360.511768,0.0574,5,0.310167,0.323395,41.375582
https://www.instagram.com/derkartenmacher/,derkartenmacher,,51.503778,7.457335,a,1,1,11,14,25,11,0.00509,0.471541,0.146182,309.032423,0.049203,5,0.343894,0.360656,784.964206
https://www.instagram.com/anpaenhuysen/,anpaenhuysen,,,,a,1,3,,,,,,,,,,,,,
https://www.instagram.com/pillars_of_home/,pillars_of_home,,,,a,1,3,2,1,3,2,0.000925,0.471541,0.127657,51.51261,0.008202,8,0.199262,0.210545,0
https://www.instagram.com/blumendekor/,blumendekor,,,,a,1,4,2,8,10,2,0.000925,0.471541,0.106376,0,0,6,0.276994,0.296597,15.334448
https://www.instagram.com/lenders_beratung/,lenders_beratung,,,,a,1,2,,,,,,,,,,,,,
https://www.instagram.com/buschtii/,buschtii,,,,a,1,6,4,4,8,4,0.001851,0.472004,0.126297,51.51261,0.008202,1,1,1,0.45
https://www.instagram.com/evauebelhoer/,evauebelhoer,,47.995771,7.860599,a,1,3,2,18,20,2,0.000925,0.471541,0.088686,51.326251,0.008172,6,0.286396,0.304475,185.945894
https://www.instagram.com/kunstloc/,kunstloc,,,,a,1,3,7,14,21,7,0.003239,0.471541,0.126949,103.20793,0.016432,7,0.223487,0.239717,186.052197
