Id,Label,timeset,lat,lng,kind of node,cityquartier,weight,modularity_class,indegree,outdegree,Degree,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,componentnumber,strongcompnum
https://www.instagram.com/hotjazzclub/,hotjazzclub,,51.951891,7.643549,a,,1,0,122,77,199,122,0.067929,0.694878,0.290036,10585,0.378225,4,0.424526,0.457068,2906.18641,122,77,199,0,464
https://www.instagram.com/studiobuehnems/,studiobuehnems,,,,a,,1,1,46,13,59,46,0.025612,0.694878,0.271341,4557,0.162831,4,0.403897,0.43245,187.279423,46,13,59,0,464
https://www.instagram.com/hellagood_muenster/,hellagood_muenster,,51.960484,7.633503,a,,1,0,83,54,137,83,0.046214,0.694878,0.301323,6668,0.238262,3,0.398718,0.426047,8993.973079,83,54,137,0,464
https://www.instagram.com/slowfoodyouthmuenster/,slowfoodyouthmuenster,,,,a,,1,1,95,89,184,95,0.052895,0.694878,0.295471,9591,0.342707,4,0.429192,0.467888,3408.802671,95,89,184,0,464
https://www.instagram.com/pruettcafemuenster/,pruettcafemuenster,,51.411178,7.204632,a,,1,1,115,77,192,115,0.064031,0.694878,0.294168,10826,0.386836,4,0.436557,0.472355,1435.89925,115,77,192,0,464
https://www.instagram.com/fairteilbar_muenster/,fairteilbar_muenster,,51.950306,7.624563,a,,1,1,169,51,220,169,0.094098,0.694878,0.31673,13233,0.472844,4,0.38518,0.416617,7698.953568,169,51,220,0,464
https://www.instagram.com/raumstationkiel/,raumstationkiel,,,,a,,1,4,23,32,55,23,0.012806,0.694878,0.236877,893,0.031909,5,0.357158,0.386996,1360.518183,23,32,55,0,464
https://www.instagram.com/centerforliterature/,centerforliterature,,51.971393,7.503251,a,,1,7,76,73,149,76,0.042316,0.694878,0.287155,6505,0.232438,4,0.40585,0.440093,10030.745979,76,73,149,0,464
https://www.instagram.com/subtonecircus/,subtonecircus,,,,a,,1,2,26,24,50,26,0.014477,0.694878,0.263669,2205,0.078789,4,0.374192,0.402174,326.739019,26,24,50,0,464
https://www.instagram.com/adapterstuttgart/,adapterstuttgart,,,,a,,1,4,22,25,47,22,0.012249,0.694878,0.235462,872,0.031158,5,0.283663,0.306432,162.225174,22,25,47,0,464
https://www.instagram.com/fabijanus/,fabijanus,,,,a,,1,2,5,30,35,5,0.002784,0.694878,0.242034,682,0.024369,4,0.385977,0.416567,196.41465,5,30,35,0,464
https://www.instagram.com/cinema_del_sol/,cinema_del_sol,,,,a,,1,4,6,17,23,6,0.003341,0.694878,0.231688,416,0.014865,5,0.271113,0.287929,12.851787,6,17,23,0,464
https://www.instagram.com/grenzenlosewaerme/,grenzenlosewaerme,,,,a,,1,1,3,16,19,3,0.00167,0.694878,0.24049,643,0.022976,5,0.36092,0.387086,29.264936,3,16,19,0,464
https://www.instagram.com/hungrig.ms/,hungrig.ms,,,,a,,1,0,88,44,132,88,0.048998,0.694878,0.288013,8467,0.302544,4,0.377388,0.406343,975.067162,88,44,132,0,464
https://www.instagram.com/cargobikemonkeys/,cargobikemonkeys,,51.956275,7.642404,a,,1,0,20,37,57,20,0.011136,0.694878,0.260501,2106,0.075252,4,0.396458,0.425402,514.967272,20,37,57,0,464
https://www.instagram.com/leezenheroes/,leezenheroes,,48.088282,11.645771,a,,1,0,142,104,246,142,0.079065,0.694878,0.299553,14631,0.522797,4,0.429083,0.469178,2697.420321,142,104,246,0,464
https://www.instagram.com/hafenkaeserei/,hafenkaeserei,,51.951011,7.642247,a,,1,0,253,185,438,254,0.141425,0.694878,0.331121,21019,0.751054,3,0.476989,0.520647,36064.710176,253,185,438,0,464
https://www.instagram.com/seedsforsustainability/,seedsforsustainability,,,,a,,1,1,3,10,13,3,0.00167,0.694878,0.231132,354,0.012649,5,0.349137,0.372464,174.228387,3,10,13,0,464
https://www.instagram.com/noplacebuthome/,noplacebuthome,,,,a,,1,7,30,33,63,30,0.016704,0.694878,0.263189,1719,0.061424,4,0.382634,0.410562,2489.126488,30,33,63,0,464
https://www.instagram.com/stadt4.0/,stadt4.0,,52.316536,8.347018,a,,1,0,30,92,122,30,0.016704,0.694878,0.261759,3185,0.113807,4,0.44418,0.480693,375.762416,30,92,122,0,464
https://www.instagram.com/neuland.stiftung.wolfsburg/,neuland.stiftung.wolfsburg,,52.414925,10.748537,a,,1,1,5,5,10,5,0.002784,0.694878,0.232745,391,0.013971,5,0.285739,0.299315,147.01502,5,5,10,0,464
https://www.instagram.com/das_schoenwerk/,das_schoenwerk,,51.963021,7.645032,a,,1,0,97,85,182,97,0.054009,0.694878,0.294968,8988,0.321161,4,0.422815,0.459301,3447.636328,97,85,182,0,464
https://www.instagram.com/yukimagazin/,yukimagazin,,,,a,,1,0,29,46,75,29,0.016147,0.694878,0.260814,2821,0.1008,4,0.393577,0.424211,156.586429,29,46,75,0,464
https://www.instagram.com/diesophie.studio/,diesophie.studio,,51.957149,7.644891,a,,1,2,49,51,100,49,0.027283,0.694878,0.269738,3585,0.1281,4,0.416109,0.450417,1412.391641,49,51,100,0,464
https://www.instagram.com/urban_catalyst_berlin/,urban_catalyst_berlin,,52.494101,13.437871,a,,1,4,34,42,76,34,0.018931,0.694878,0.254612,1325,0.047345,5,0.352731,0.383869,2723.727271,34,42,76,0,464
https://www.instagram.com/klimamischpoke/,klimamischpoke,,,,a,,1,0,40,57,97,40,0.022272,0.694878,0.270242,4464,0.159508,4,0.404091,0.435974,348.70513,40,57,97,0,464
https://www.instagram.com/nabu/,nabu,,,,a,,1,1,68,9,77,69,0.038419,0.694878,0.285078,2900,0.103623,5,0.291038,0.306194,2900.402583,68,9,77,0,464
https://www.instagram.com/radioq/,radioq,,,,a,,1,1,125,60,185,125,0.069599,0.694878,0.301532,11202,0.400272,4,0.416212,0.451112,3044.834217,125,60,185,0,464
https://www.instagram.com/lwlmuseumkunstkultur/,lwlmuseumkunstkultur,,51.961545,7.624212,a,,1,0,253,97,350,253,0.140869,0.694878,0.324675,20457,0.730973,3,0.43385,0.468434,10932.598818,253,97,350,0,464
https://www.instagram.com/stadtfuerallenbg/,stadtfuerallenbg,,,,a,,1,4,31,24,55,31,0.017261,0.694878,0.248555,1459,0.052133,5,0.28647,0.30808,460.452196,31,24,55,0,464
https://www.instagram.com/rare_guitar/,rare_guitar,,51.949971,7.634197,a,,1,2,35,13,48,36,0.020045,0.694878,0.265444,2936,0.10491,4,0.354294,0.377755,142.289417,35,13,48,0,464
https://www.instagram.com/blattbeton/,blattbeton,,,,a,,1,1,47,105,152,47,0.026169,0.694878,0.274955,4006,0.143143,4,0.441842,0.481686,2132.194283,47,105,152,0,464
https://www.instagram.com/dielinseev/,dielinseev,,,,a,,1,1,36,72,108,36,0.020045,0.694878,0.26577,3423,0.122311,4,0.431731,0.466845,574.311493,36,72,108,0,464
https://www.instagram.com/cleanclothes_ms/,cleanclothes_ms,,,,a,,1,1,71,137,208,71,0.039532,0.694878,0.293769,6429,0.229722,4,0.455137,0.497667,4935.516614,71,137,208,0,464
https://www.instagram.com/exkaffee/,exkaffee,,51.953253,7.639904,a,,1,1,126,125,251,126,0.070156,0.694878,0.306109,10718,0.382977,4,0.450134,0.492108,7385.69475,126,125,251,0,464
